epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,164.477,0.70232,0.82661,1,0.46642,0.0801322,5.97826e-05,5.97826e-05
2,341.118,0.31675,0.90726,1,0.28354,0.0601907,0.000118201,0.000118201
3,513.518,0.25072,0.92339,1,0.24311,0.0402475,0.000175036,0.000175036
4,689.757,0.21979,0.92742,1,0.22945,0.0203028,0.000230287,0.000230287
5,868.387,0.18494,0.92742,1,0.26353,0.000356418,0.000283954,0.000283954
6,1039.05,0.15787,0.91129,1,0.29065,0.0002802,0.0002802,0.0002802
7,1209.47,0.13036,0.95565,1,0.17979,0.00027624,0.00027624,0.00027624
8,1365.86,0.11857,0.93952,1,0.22418,0.00027228,0.00027228,0.00027228
9,1521.51,0.10444,0.93548,1,0.22273,0.00026832,0.00026832,0.00026832
10,1683.71,0.11556,0.94758,1,0.21382,0.00026436,0.00026436,0.00026436
11,1845.66,0.07719,0.89113,1,0.48639,0.0002604,0.0002604,0.0002604
12,2001.63,0.07276,0.875,1,0.42026,0.00025644,0.00025644,0.00025644
13,2164.17,0.07109,0.90323,1,0.4019,0.00025248,0.00025248,0.00025248
14,2326.26,0.08124,0.91129,1,0.32861,0.00024852,0.00024852,0.00024852
15,2494.21,0.06093,0.93145,1,0.33257,0.00024456,0.00024456,0.00024456
16,2669.38,0.06259,0.93145,1,0.26409,0.0002406,0.0002406,0.0002406
17,2838.44,0.06265,0.93548,1,0.28548,0.00023664,0.00023664,0.00023664
18,3009.45,0.06952,0.94758,1,0.22225,0.00023268,0.00023268,0.00023268
19,3174.97,0.05437,0.92742,1,0.2731,0.00022872,0.00022872,0.00022872
20,3349.71,0.047,0.93548,1,0.33318,0.00022476,0.00022476,0.00022476
21,3508.7,0.04921,0.93145,1,0.29649,0.0002208,0.0002208,0.0002208
22,3663.12,0.04904,0.8871,1,0.44662,0.00021684,0.00021684,0.00021684
23,3814.91,0.0502,0.94355,1,0.21349,0.00021288,0.00021288,0.00021288
24,3965.63,0.04224,0.93145,1,0.2397,0.00020892,0.00020892,0.00020892
25,4096.94,0.04298,0.94758,1,0.20611,0.00020496,0.00020496,0.00020496
26,4226.64,0.03811,0.94758,1,0.16406,0.000201,0.000201,0.000201
27,4355.94,0.0454,0.95161,1,0.23808,0.00019704,0.00019704,0.00019704
