epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,17753.9,0.09024,0.91129,1,0.33136,0.000321875,0.000321875,0.000321875
77,17995.1,0.10167,0.91129,1,0.34326,0.0003095,0.0003095,0.0003095
78,18232.7,0.08636,0.91935,1,0.36169,0.000297125,0.000297125,0.000297125
79,18470,0.08082,0.91935,1,0.3642,0.00028475,0.00028475,0.00028475
80,18708,0.08293,0.91532,1,0.32877,0.000272375,0.000272375,0.000272375
81,18945.3,0.08602,0.92339,1,0.34872,0.00026,0.00026,0.00026
82,19182.6,0.0954,0.91129,1,0.35504,0.000247625,0.000247625,0.000247625
83,19423.4,0.09197,0.93145,1,0.33148,0.00023525,0.00023525,0.00023525
84,19644.3,0.09035,0.91935,1,0.33263,0.000222875,0.000222875,0.000222875
85,19862.4,0.09377,0.92742,1,0.33316,0.0002105,0.0002105,0.0002105
86,20082,0.08692,0.92339,1,0.33084,0.000198125,0.000198125,0.000198125
87,20318.1,0.08449,0.91935,1,0.33157,0.00018575,0.00018575,0.00018575
88,20556.4,0.13486,0.92742,1,0.33212,0.000173375,0.000173375,0.000173375
89,20790.1,0.10083,0.92339,1,0.33052,0.000161,0.000161,0.000161
90,20998.7,0.11077,0.91935,1,0.32257,0.000148625,0.000148625,0.000148625
91,21239,0.09058,0.92339,1,0.34039,0.00013625,0.00013625,0.00013625
92,21475.7,0.07393,0.92742,1,0.32666,0.000123875,0.000123875,0.000123875
93,21716.8,0.07976,0.92339,1,0.33148,0.0001115,0.0001115,0.0001115
94,21953.1,0.0862,0.92339,1,0.34906,9.9125e-05,9.9125e-05,9.9125e-05
95,22165.9,0.08767,0.92742,1,0.33987,8.675e-05,8.675e-05,8.675e-05
96,22406.2,0.10122,0.92339,1,0.34258,7.4375e-05,7.4375e-05,7.4375e-05
97,22644.2,0.08467,0.92339,1,0.33496,6.2e-05,6.2e-05,6.2e-05
98,22882.5,0.08955,0.91935,1,0.34119,4.9625e-05,4.9625e-05,4.9625e-05
99,23118.4,0.09124,0.91935,1,0.33899,3.725e-05,3.725e-05,3.725e-05
100,23357.1,0.09135,0.91935,1,0.33362,2.4875e-05,2.4875e-05,2.4875e-05
